frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
710	2172	326	298.0	181.0	255.0	228.0548780487805	right	right_tank1	110.0	match
710	2286	328	638.0	0.0	255.0	225.6675675675676	right	right_tank1	224.0	match
710	2289	314	17.5	166.0	194.0	194.1153846153846	right	right_tank1	227.0	match
710	300	385	99.5	181.0	255.0	236.0252100840336	left	left_tank1	115.0	match
710	2197	403	80.5	181.0	255.0	235.08247422680407	right	right_tank1	135.0	match
711	375	289	170.0	181.0	231.0	212.10476190476192	left	left_tank1	190.0	match
711	261	311	299.0	181.0	255.0	230.74924471299093	left	left_tank1	76.0	match
711	376	314	365.5	181.0	255.0	235.83	left	left_tank1	191.0	match
711	2171	325	318.0	181.0	255.0	231.92836676217763	right	right_tank1	109.0	match
711	2285	329	576.5	178.0	255.0	227.06024096385545	right	right_tank1	223.0	match
711	300	384	96.5	181.0	255.0	237.0775862068965	left	left_tank1	115.0	
711	2198	403	88.5	181.0	255.0	236.10476190476192	right	right_tank1	136.0	match
712	376	285	183.5	181.0	216.0	208.7056074766355	left	left_tank1	191.0	match
712	2288	303	33.0	176.0	209.0	201.8695652173913	right	right_tank1	226.0	match
712	2284	313	131.5	181.0	226.0	209.9079754601227	right	right_tank1	222.0	match
712	262	310	281.0	181.0	255.0	232.18210862619807	left	left_tank1	77.0	match
712	373	314	383.0	181.0	255.0	228.21140142517817	left	left_tank1	188.0	match
712	2171	326	322.0	181.0	255.0	233.63098591549297	right	right_tank1	109.0	match
712	2284	339	380.0	181.0	255.0	237.8441247002398	right	right_tank1	222.0	
712	299	384	95.5	182.0	255.0	237.1810344827586	left	left_tank1	114.0	match
712	2198	402	87.0	181.0	255.0	235.83653846153848	right	right_tank1	136.0	match
713	373	290	181.0	181.0	247.0	209.02242152466368	left	left_tank1	188.0	match
713	261	310	291.0	181.0	255.0	234.84259259259252	left	left_tank1	76.0	match
713	2284	312	144.5	181.0	230.0	210.65895953757223	right	right_tank1	222.0	match
713	374	314	401.5	181.0	255.0	232.63181818181812	left	left_tank1	189.0	match
713	2171	326	344.0	181.0	255.0	230.14775725593665	right	right_tank1	109.0	match
713	2283	338	379.0	181.0	255.0	237.2942583732057	right	right_tank1	221.0	match
713	300	385	97.0	181.0	255.0	236.3025210084033	left	left_tank1	115.0	match
713	2197	403	90.5	183.0	255.0	236.5185185185185	right	right_tank1	135.0	match
714	373	289	158.0	181.0	248.0	208.77604166666663	left	left_tank1	188.0	match
714	260	310	284.5	181.0	255.0	235.08176100628933	left	left_tank1	75.0	match
